Positive, Negative, Index
7,45,0.15939
8,44,0.18
9,43,0.20045
10,42,0.22076
11,41,0.24092
12,40,0.26106
13,39,0.28105
14,38,0.30093
15,37,0.32066
16,36,0.34052
17,35,0.36022
18,34,0.37983
19,33,0.39939
20,32,0.41886
21,31,0.43825
22,30,0.45756
23,29,0.47669
24,28,0.49601
25,27,0.51535
26,26,0.53457
27,25,0.5537
28,24,0.57277
29,23,0.59176
30,22,0.61069
31,21,0.62956
32,20,0.64828
33,19,0.66711
34,18,0.68584
35,17,0.70448
36,16,0.72304
37,15,0.74151
38,14,0.75996
39,13,0.77829
40,12,0.79654
41,11,0.8147
42,10,0.83276
43,9,0.8507
44,8,0.8685
45,7,0.88616
46,6,0.90365
47,5,0.92092
48,4,0.93792
49,3,0.95455
50,2,0.97069
51,1,0.98589
1,52,0.02779
2,51,0.0509
3,50,0.0728
4,49,0.09409
5,48,0.11497
6,47,0.13558
7,46,0.15595
8,45,0.17618
9,44,0.19623
10,43,0.21616
11,42,0.23592
12,41,0.25569
13,40,0.27531
14,39,0.29484
15,38,0.31421
16,37,0.33366
17,36,0.35302
18,35,0.37229
19,34,0.39147
20,33,0.4106
21,32,0.42966
22,31,0.44864
23,30,0.46752
24,29,0.48625
25,28,0.50533
26,27,0.52424
27,26,0.54305
28,25,0.5618
29,24,0.58046
30,23,0.5991
31,22,0.61766
32,21,0.63614
33,20,0.65452
34,19,0.673
35,18,0.69136
36,17,0.70964
37,16,0.72783
38,15,0.74598
39,14,0.76406
40,13,0.78204
41,12,0.79997
42,11,0.81778
43,10,0.83552
44,9,0.85313
45,8,0.87062
46,7,0.88796
47,6,0.90514
48,5,0.92212
49,4,0.93883
50,3,0.95518
51,2,0.97106
52,1,0.98605
1,53,0.02707
2,52,0.04968
3,51,0.07114
4,50,0.092
5,49,0.11248
6,48,0.13267
7,47,0.15267
8,46,0.1725
9,45,0.19216
10,44,0.21173
11,43,0.23114
12,42,0.25052
13,41,0.26978
14,40,0.28896
15,39,0.30802
16,38,0.32704
17,37,0.34607
18,36,0.365
19,35,0.38382
20,34,0.40264
21,33,0.42137
22,32,0.44003
23,31,0.4586
24,30,0.47701
25,29,0.49563
26,28,0.51425
27,27,0.53277
28,26,0.5512
29,25,0.56957
30,24,0.58787
31,23,0.60614
32,22,0.62434
33,21,0.64244
34,20,0.66055
35,19,0.67865
36,18,0.69665
37,17,0.71459
38,16,0.73242
39,15,0.75027
40,14,0.76802
41,13,0.78565
42,12,0.80327
43,11,0.82075
44,10,0.83818
45,9,0.85548
46,8,0.87266
47,7,0.8897
48,6,0.90658
49,5,0.92327
50,4,0.9397
51,3,0.95579
52,2,0.97142
53,1,0.98619
1,54,0.02637
2,53,0.04851
3,52,0.06953
4,51,0.08998
5,50,0.11007
6,49,0.12988
7,48,0.1495
8,47,0.16895
9,46,0.18823
10,45,0.20746
11,44,0.22654
12,43,0.24552
13,42,0.26446
14,41,0.28329
15,40,0.30203
16,39,0.32064
17,38,0.33936
18,37,0.35796
19,36,0.37649
20,35,0.39495
21,34,0.41336
22,33,0.4317
23,32,0.44998
24,31,0.46815
25,30,0.48622
26,29,0.50459
27,28,0.52282
