Time,Positive,Negative,Value
16,5,3,-4.80991
16,6,2,-4.80991
16,7,1,-4.80991
16,1,8,-4.22121
16,2,7,-4.22121
16,3,6,-4.22121
16,4,5,-4.22121
16,5,4,-4.22121
16,6,3,-4.22121
16,7,2,-4.22121
16,8,1,-4.22121
16,1,9,-3.66617
16,2,8,-3.66617
16,3,7,-3.66617
16,4,6,-3.66617
16,5,5,-3.66617
16,6,4,-3.66617
16,7,3,-3.66617
16,8,2,-3.66617
16,9,1,-3.66617
16,1,10,-3.13962
16,2,9,-3.13962
16,3,8,-3.13962
16,4,7,-3.13962
16,5,6,-3.13962
16,6,5,-3.13962
16,7,4,-3.13962
16,8,3,-3.13962
16,9,2,-3.13962
16,10,1,-3.13962
16,1,11,-2.63757
16,2,10,-2.63757
16,3,9,-2.63757
16,4,8,-2.63757
16,5,7,-2.63757
16,6,6,-2.63757
16,7,5,-2.63757
16,8,4,-2.63757
16,9,3,-2.63757
16,10,2,-2.63757
16,11,1,-2.63757
16,1,12,-2.15689
16,2,11,-2.15689
16,3,10,-2.15689
16,4,9,-2.15689
16,5,8,-2.15689
16,6,7,-2.15689
16,7,6,-2.15689
16,8,5,-2.15689
16,9,4,-2.15689
16,10,3,-2.15689
16,11,2,-2.15689
16,12,1,-2.15689
16,1,13,-1.69507
16,2,12,-1.69507
16,3,11,-1.69507
16,4,10,-1.69507
16,5,9,-1.69507
16,6,8,-1.69507
16,7,7,-1.69507
16,8,6,-1.69507
16,9,5,-1.69507
16,10,4,-1.69507
16,11,3,-1.69507
16,12,2,-1.69507
16,13,1,-1.69507
16,1,14,-1.25005
16,2,13,-1.25005
16,3,12,-1.25005
16,4,11,-1.25005
16,5,10,-1.25005
16,6,9,-1.25005
16,7,8,-1.25005
16,8,7,-1.25005
16,9,6,-1.25005
16,10,5,-1.25005
16,11,4,-1.25005
16,12,3,-1.25005
16,13,2,-1.25005
16,14,1,-1.25005
16,1,15,-0.820126
16,2,14,-0.820126
16,3,13,-0.820126
16,4,12,-0.820126
16,5,11,-0.820126
16,6,10,-0.820126
16,7,9,-0.820126
16,8,8,-0.820126
16,9,7,-0.820126
16,10,6,-0.820126
16,11,5,-0.820126
16,12,4,-0.820126
16,13,3,-0.820126
16,14,2,-0.820126
16,15,1,-0.820126
16,1,16,-0.403848
16,2,15,-0.403848
16,3,14,-0.403848
16,4,13,-0.403848
16,5,12,-0.403848
16,6,11,-0.403848
16,7,10,-0.403848
16,8,9,-0.403848
16,9,8,-0.403848
16,10,7,-0.403848
16,11,6,-0.403848
16,12,5,-0.403848
16,13,4,-0.403848
16,14,3,-0.403848
16,15,2,-0.403848
16,16,1,-0.403848
16,1,17,0
16,2,16,0
16,3,15,0
16,4,14,0
16,5,13,0
16,6,12,0
16,7,11,0
16,8,10,0
16,9,9,0
16,10,8,0
16,11,7,0
16,12,6,0
16,13,5,0
16,14,4,0
16,15,3,0
16,16,2,0
16,17,1,0
17,1,1,-10.3387
17,1,2,-9.14849
17,2,1,-9.14849
17,1,3,-8.17668
17,2,2,-8.17668
17,3,1,-8.17668
17,1,4,-7.33507
17,2,3,-7.33507
17,3,2,-7.33507
17,4,1,-7.33507
17,1,5,-6.58232
17,2,4,-6.58232
17,3,3,-6.58232
17,4,2,-6.58232
17,5,1,-6.58232
17,1,6,-5.89515
17,2,5,-5.89515
17,3,4,-5.89515
17,4,3,-5.89515
17,5,2,-5.89515
17,6,1,-5.89515
17,1,7,-5.25895
17,2,6,-5.25895
17,3,5,-5.25895
17,4,4,-5.25895
17,5,3,-5.25895
17,6,2,-5.25895
17,7,1,-5.25895
17,1,8,-4.66385
17,2,7,-4.66385
17,3,6,-4.66385
17,4,5,-4.66385
17,5,4,-4.66385
17,6,3,-4.66385
17,7,2,-4.66385
17,8,1,-4.66385
17,1,9,-4.10277
17,2,8,-4.10277
17,3,7,-4.10277
17,4,6,-4.10277
17,5,5,-4.10277
17,6,4,-4.10277
17,7,3,-4.10277
17,8,2,-4.10277
17,9,1,-4.10277
17,1,10,-3.57049
17,2,9,-3.57049
17,3,8,-3.57049
17,4,7,-3.57049
17,5,6,-3.57049
17,6,5,-3.57049
17,7,4,-3.57049
17,8,3,-3.57049
17,9,2,-3.57049
17,10,1,-3.57049
17,1,11,-3.06299
17,2,10,-3.06299
17,3,9,-3.06299
17,4,8,-3.06299
17,5,7,-3.06299
17,6,6,-3.06299
17,7,5,-3.06299
17,8,4,-3.06299
17,9,3,-3.06299
17,10,2,-3.06299
17,11,1,-3.06299
17,1,12,-2.57708
17,2,11,-2.57708
17,3,10,-2.57708
17,4,9,-2.57708
17,5,8,-2.57708
17,6,7,-2.57708
17,7,6,-2.57708
17,8,5,-2.57708
17,9,4,-2.57708
17,10,3,-2.57708
17,11,2,-2.57708
17,12,1,-2.57708
17,1,13,-2.11024
17,2,12,-2.11024
17,3,11,-2.11024
17,4,10,-2.11024
17,5,9,-2.11024
17,6,8,-2.11024
17,7,7,-2.11024
17,8,6,-2.11024
17,9,5,-2.11024
17,10,4,-2.11024
17,11,3,-2.11024
17,12,2,-2.11024
17,13,1,-2.11024
17,1,14,-1.66039
17,2,13,-1.66039
17,3,12,-1.66039
17,4,11,-1.66039
17,5,10,-1.66039
17,6,9,-1.66039
17,7,8,-1.66039
17,8,7,-1.66039
17,9,6,-1.66039
17,10,5,-1.66039
17,11,4,-1.66039
17,12,3,-1.66039
17,13,2,-1.66039
17,14,1,-1.66039
17,1,15,-1.22578
17,2,14,-1.22578
17,3,13,-1.22578
17,4,12,-1.22578
17,5,11,-1.22578
17,6,10,-1.22578
17,7,9,-1.22578
17,8,8,-1.22578
17,9,7,-1.22578
17,10,6,-1.22578
17,11,5,-1.22578
17,12,4,-1.22578
17,13,3,-1.22578
17,14,2,-1.22578
17,15,1,-1.22578
17,1,16,-0.804977
17,2,15,-0.804977
17,3,14,-0.804977
17,4,13,-0.804977
17,5,12,-0.804977
17,6,11,-0.804977
17,7,10,-0.804977
17,8,9,-0.804977
17,9,8,-0.804977
17,10,7,-0.804977
17,11,6,-0.804977
17,12,5,-0.804977
17,13,4,-0.804977
17,14,3,-0.804977
17,15,2,-0.804977
17,16,1,-0.804977
17,1,17,-0.396738
17,2,16,-0.396738
17,3,15,-0.396738
17,4,14,-0.396738
17,5,13,-0.396738
17,6,12,-0.396738
17,7,11,-0.396738
17,8,10,-0.396738
17,9,9,-0.396738
17,10,8,-0.396738
17,11,7,-0.396738
17,12,6,-0.396738
17,13,5,-0.396738
17,14,4,-0.396738
17,15,3,-0.396738
17,16,2,-0.396738
17,17,1,-0.396738
17,1,18,0
17,2,17,0
17,3,16,0
17,4,15,0
17,5,14,0
17,6,13,0
17,7,12,0
17,8,11,0
17,9,10,0
17,10,9,0
17,11,8,0
17,12,7,0
17,13,6,0
17,14,5,0
17,15,4,0
17,16,3,0
17,17,2,0
17,18,1,0
18,1,1,-10.8325
18,1,2,-9.63034
18,2,1,-9.63034
18,1,3,-8.64878
18,2,2,-8.64878
18,3,1,-8.64878
18,1,4,-7.79873
18,2,3,-7.79873
18,3,2,-7.79873
18,4,1,-7.79873
18,1,5,-7.03841
18,2,4,-7.03841
18,3,3,-7.03841
18,4,2,-7.03841
18,5,1,-7.03841
18,1,6,-6.34435
18,2,5,-6.34435
18,3,4,-6.34435
18,4,3,-6.34435
18,5,2,-6.34435
18,6,1,-6.34435
18,1,7,-5.70177
18,2,6,-5.70177
18,3,5,-5.70177
18,4,4,-5.70177
18,5,3,-5.70177
18,6,2,-5.70177
18,7,1,-5.70177
18,1,8,-5.10069
18,2,7,-5.10069
18,3,6,-5.10069
18,4,5,-5.10069
18,5,4,-5.10069
18,6,3,-5.10069
18,7,2,-5.10069
18,8,1,-5.10069
18,1,9,-4.53398
18,2,8,-4.53398
18,3,7,-4.53398
18,4,6,-4.53398
18,5,5,-4.53398
